,Unnamed: 0,post_id,time,text,reaction_count,label
34,34,675072441323729,2023-07-09 14:41:06,"Leslie Washington, Senior Survivor Fellow and Missouri Moms Demand Action Volunteer “I joined Moms Demand Action as a volunteer in 2014 because I am a survivor of domestic and firearms violence and was tired of all of the senseless gun violence that continues to happen. I knew I had to get off the sidelines and take action. The Missouri Chapter is supportive and welcoming, and I share special bonds with my Missouri Moms family. I became a Survivor Fellow in the Everytown Survivor Network in 2015, a Legislative Lead soon thereafter, and I’m a national trainer. It’s rewarding to share my story to show others that there is light at the end of the tunnel. It has also given me opportunities to…",127,1
35,35,674942141336759,2023-07-09 11:01:37,"Acts of mass gun violence continue to terrorize our communities, this time in Cleveland, Ohio. When will our lawmakers stand up to the gun lobby so we don’t have to stand up to gunmen? CNN.COM 9 people wounded in mass shooting in Cleveland, police say | CNN",102,1
36,36,674220224742284,2023-07-08 09:56:23,"At least eight more lives in El Paso, Texas devastated by a senseless act of mass gun violence. We cannot accept this as normal. APNEWS.COM Texas police find 8 people injured by shooting at El Paso party, news report says",66,1
37,37,673520841478889,2023-07-07 09:58:57,"TRAGIC: A 15-year-old girl was babysitting her cousins, ages 5 and 1, when another family member came to the home and opened fire on the children. The teen was critically wounded while shielding her younger cousins from the gunfire; her 5-year-old cousin was killed. ABC11.COM 15-year-old babysitter gravely injured using her body to shield younger cousins from gunfire",421,1
38,38,672903518207288,2023-07-06 11:48:10,"A new report from Everytown for Gun Safety shines a light on licensed gun dealers, their shocking relationship to gun trafficking and crime, and the urgent need to update the laws that govern gun selling. Here are three things to know: 1. There are over twice as many gun dealers as US postal offices, with more than half at residential addresses and thousands near schools. There are an average of two thefts or robberies from gun shops nationwide per day. Having them near schools puts kids at risk. 2. Where there are more gun dealers, there’s more gun crime. States with the highest number of gun dealers per capita have TEN times higher rates of guns trafficked out of the legal market and used in crimes. 3. The laws that govern licensed gun dealers haven’t been updated since the 1960s, so while elevators and restaurants are required to be inspected annually or more frequently, licensed gun dealers can expect to be inspected roughly once a decade. Read the full report: everytownresearch.org/report/firearms-dealers-and-their-impact",206,1
39,39,225023522995292,2023-07-06 08:48:10,Join the non-partisan movement of Americans demanding reasonable solutions to address our nation’s culture of gun violence. Text READY to 644-33.,361,1
40,40,672322491598724,2023-07-05 19:00:00,"Fear of prolific gun violence is changing American communities. A poll conducted last year by the University of Chicago Harris School of Public Policy and The Associated Press-NORC Center for Public Affairs Research found that about 4 in 10 Americans believe it is at least somewhat likely that they will become a victim of gun violence within the next five years. NYTIMES.COM A Year After July 4 Parade Shooting, Some Americans Rethink Big Gatherings",86,1
41,41,672220228275617,2023-07-05 12:11:43,"Philadelphia, Baltimore and Fort Worth were just three of the many communities that were devastated by horrific acts of gun violence over the July 4th holiday. According to the Gun Violence Archive, there were at least 538 shootings from Friday through Tuesday in which 199 people were shot and killed and 520 were shot and wounded. We don’t have to live like this and we sure as hell don’t have to die like this. People in America should have the freedom to celebrate the Fourth of July holidays without the threat of being gunned down. Text READY to 644-33 to join the movement to #EndGunViolence. REUTERS.COM Ten dead, 38 wounded in three US mass shootings",114,1
42,42,670803351750638,2023-07-04 12:00:01,"As the nation marks one year since the horrific mass shooting in Highland Park, IL—carried out by a gunman armed with an semiautomatic rifle— Governor JB Pritzker and our executive director Angela Ferrell-Zabala call on states and Congress to do more to get these weapons of war off our streets. TEENVOGUE.COM One Year After the Highland Park Massacre, Why Haven't More States Banned Assault Rifles?",120,1
43,43,671482101682763,2023-07-04 10:35:33,"Mass gun violence continues to wreak havoc in communities across America. A gunman wearing a bulletproof vest opened fire—seemingly at random—along several blocks in southwestern Philadelphia on Monday, killing five people and wounding two children. Police said the gunman used an AR-style rifle and had several magazines, a handgun, and a police scanner. Eight people were shot and two were trampled when multiple patrons exchanged gunfire early Sunday inside a Wichita, Kansas, nightclub. Police said at least four guns were discharged during the shooting. At least two people were killed and 28 others were wounded, three critically, when at least two people opened fire at a block party in Baltimore on Sunday. The deceased victims were identified as 18-year-old Aaliyah Gonzalez and 20-year-old Kylis Fagbemi. APNEWS.COM Gunman opens fire at random on Philadelphia streets, killing 5 before he is arrested, police say",99,1
44,44,668402921990681,2023-07-04 09:00:04,"On this day one year ago, seven people were killed and 48 others were wounded, including children, when a gunman fired a semi-automatic rifle from a roof at an Independence Day parade in Highland Park, Illinois. We hold the victims, survivors, and the entire Highland Park community in our hearts, today and every day, as we work to end gun violence in their honor.",782,1
45,45,671037108393929,2023-07-03 20:38:24,“Ban assault weapons. Leave the praying to us. Go back to Washington and do your job.” - Angela Ferrell-Zabala Join the millions of Americans demanding lawmakers take action to end gun violence: Text READY to 644-33.,246,1
46,46,668373071993666,2023-07-03 12:00:06,"SUMMER SALE! Show your support for our work while contributing to our cause with a purchase from the Moms Demand Action store! Proceeds help fuel our fight to end gun violence. From now until 7/9, get up to 75% off your favorite Moms Demand Action items! Shop here: bit.ly/summer23sale_FB",47,1
47,47,668915198606120,2023-07-02 19:00:00,"Since 2019, there has been an alarming increase in gun homicide rates—especially among Black, Latinx, and transgender people. A new report by Everytown for Gun Safety details the critical role of community violence intervention programs in reducing this violence. EVERYTOWNRESEARCH.ORG The Changing Demographics of Gun Homicide Victims and How Community Violence Intervention Programs Can Help",85,1
48,48,670122868485353,2023-07-02 10:49:30,"Too often, celebrations in our country tragically end in gunfire. Our children deserve better. We deserve better. We mourn with everyone impacted by this tragedy, and we continue to fight like hell to prevent more senseless gun violence. REUTERS.COM Baltimore police say two dead, 28 injured after mass shooting at housing block",126,1
49,49,668914101939563,2023-07-02 09:00:00,These findings confirm what we know: Nearly all Americans—96%—agree that gun violence is a problem in this country. It’s time for our lawmakers and decision makers to act like it. Text READY to 644-33 to join us in the work to save lives. PEWRESEARCH.ORG Gun Violence Widely Viewed as a Major – and Growing – National Problem,97,1
50,50,668413348656305,2023-07-01 12:00:01,"Celebratory gunfire is no joke. Each year, innocent bystanders pay the price for this highly irresponsible and dangerous practice. Remember, what goes up must come down. Say NO to celebratory gunfire, and pass it on!",517,1
51,51,668329938664646,2023-07-01 09:00:01,"Keely Roberts and her 9-year-old sons, Cooper and Luke, were wounded in the mass shooting at the Highland Park July 4th parade last year. Cooper was paralyzed from the waist down. As the one-year mark of this tragedy approaches, read and share their story. PEOPLE.COM Mom of Highland Park Parade Shooting Victim on His Inspiring Recovery: 'There Is No Quit in This Kid' (Exclusive)",253,1
52,52,668367778660862,2023-06-30 19:00:01,MUST READ from Tennessee-based drag performer Veronika Electronika: “Guns are a threat to safety in this country. Drag queens are not. Guns kill more than 120 people every day and are the number 1 killer of children and teens in America.” ADVOCATE.COM Drag Doesn't Kill People — Guns Do,392,1
53,53,668327348664905,2023-06-30 14:00:05,"Our volunteers have been out in full force at our nation’s Pride celebrations, proudly supporting the beauty, vibrancy, and culture of the LGBTQ+ community. We will keep working to disarm hate so LGBTQ+ people are safe to be their true, authentic selves. MOMSDEMANDACTION.ORG #MomsAreEverywhere: Pride Edition",71,1
54,54,668313585332948,2023-06-30 09:00:01,"VICTORY IN OREGON! Despite deliberate obstructionism by Republican lawmakers, the Oregon legislative session ended with the passage of two important gun safety bills: one that bans ghosts guns and another that provides critical funding for gun safety initiatives. Our deepest gratitude to gun sense champions in the Oregon legislature who fought until the very end to ensure progress was made on gun safety this year, and to our volunteers whose tireless advocacy kept the pressure on lawmakers to do the right thing. Moms Demand Action - OR June 29 at 3:16 PM · WE DID IT — thanks to the tireless efforts of Oregon Moms Demand Action volunteers and help from supporters like you, a law prohibiting ghost guns was passed, and funding for gun safety was secured! Oregon volunteers work year-round to end gun violence in our communities. Get involved today by texting READY to 644-33!",1100,1
55,55,668277145336592,2023-06-29 19:00:04,"Temple Hiatt’s identity as a veteran and her passion for gun safety was what initially motivated her to join Moms Demand Action in her home state of Iowa. But with rising attacks against LGBTQ+ people, Temple believes it’s important to also be a visible member of that community. “The inclusiveness of Moms Demand Action allows me to show up fully as a member of the LGBTQ+ community,” Temple said. “It is essential that we stand up and highlight the disproportionate rates of suicide among our LGBTQ+ youth and the killing of Black trans women.” While extremist politicians attempt to restrict the rights of LGBTQ+ people—not only in Iowa, but nationwide—Temple remains hopeful that, ultimately, good will prevail. “Martin Luther King, Jr. said ‘the arc of the moral universe is long, but it bends toward justice,’” Temple said. “Don't be afraid to hang on that arc! Take up space in this world by being you. Live your life just as you are and keep going!” This PRIDE month, share Temple’s message of hope with your friends and family members.",161,1
56,56,668190422011931,2023-06-29 11:02:53,The LGBTQ+ community is disproportionately affected by America’s gun violence epidemic. New research from GLMA's Alex Sheldon provides evidence-backed findings on how gender-affirming care is essential for suicide prevention among LGBTQ+ youth. EVERYTOWNRESEARCH.ORG Alex Sheldon: Gender-Affirming Care and Suicide Prevention,129,1
57,57,667528915411415,2023-06-28 11:48:05,"Raymond Mattia was killed by border agents on tribal land in the Tohono O’odham Nation in Arizona this May. Recently released body-cam footage shows that Raymond, 58, was shot more than 30 times while complying with officers. Raymond Mattia should be alive today. Gun violence is gun violence no matter who pulls the trigger. NBCNEWS.COM CBP releases body camera video of fatal shooting of man on tribal land",94,1
58,58,667423435421963,2023-06-28 08:59:17,"It has been five years since five employees were tragically shot and killed inside the newsroom at The Capital Gazette in Annapolis, Maryland. Five years of loved ones enduring the pain of their sudden absence. We hold the victims and survivors in our hearts and remain committed to working to end gun violence in their honor.",220,1
59,59,666945545469752,2023-06-27 14:43:43,"A disagreement over a seat reservation escalated into gun violence at an Albuquerque movie theater on Sunday. Michael Tenorio, 52, was shot and died at the scene. His wife said he was unarmed. The shooter was found with a gunshot wound to his abdomen and is facing charges. NPR.ORG A man is fatally shot in a New Mexico movie theater over a seat dispute",102,1
60,60,666769378820702,2023-06-27 09:50:44,"A new study has found that unintentional pediatric firearm fatalities caused by children under 15 frequently involve a gun that was left unlocked. Secure gun storage and safe storage laws can save young lives and end these preventable tragedies. CNN.COM Most accidental shooting deaths among children involve guns left loaded and unlocked, study finds | CNN",98,1
61,61,666303938867246,2023-06-26 19:00:02,"This Pride month, we are lifting the voices of LGBTQ+ leaders in our movement who work tirelessly to help end the gun violence crisis, which disproportionately impacts LGBTQ+ people. Rudy Espinoza was in Orlando the weekend of the mass shooting at Pulse, which took the lives of 49 people and wounded more than 50 others. Most of the victims and survivors were both Latinx and members of the LGBTQ+ community. “I was deeply impacted by it because my community had been targeted,” Rudy said. “I decided that I could no longer sit on the sidelines and I had to join the gun violence prevention movement.” Rudy said he and his partner chose to live in the California Bay Area because “it is one of the…",237,1
62,62,666241188873521,2023-06-26 13:35:34,"At least three people were killed and five others were wounded during a large gathering of people in a Kansas City parking lot early Sunday morning. Yet another weekend in America marred by mass gun violence. ABCNEWS.GO.COM Kansas City shooting: 'Subject of interest' detained after 8 people shot, 3 fatally, in parking lot",65,1
63,63,664991085665198,2023-06-25 19:00:00,"“Whether you’re coming from a suburban area, you’re coming from a more rural area, [or] you’re coming from a big city. Even in those different spaces, we still can find common ground.” - Angela Ferrell-Zabala, Moms Demand Action Executive Director HUFFPOST.COM Gun Control Could Be The Glue To Hold Democrats Together",273,1
64,64,665536352277338,2023-06-25 10:30:22,"On this day one year ago, our movement made history when President Joe Biden signed the Bipartisan Safer Communities Act into law, breaking the logjam on gun safety in Congress and opening the door to further action to end this crisis. In the year since, we have not slowed down. We’ve helped pass common-sense gun laws in statehouses nationwide, and helped defeat the gun lobby's attempts to weaken our gun laws. We’re changing the extremist gun culture and the politics of gun safety in our country. This fight is not over—and it is one that we are winning. Join us: Text READY to 644-33 to volunteer with a Moms Demand Action chapter in your area.",159,1
65,65,664974245666882,2023-06-24 19:00:04,"""Many studies have found that easy access to firearms does not make the home safer. Instead, ownership raises the likelihood of both suicide and homicide.” - Sarah Burd-Sharps, senior director of research, Everytown for Gun Safety NYTIMES.COM Why Some Americans Buy Guns",66,1
66,66,664967822334191,2023-06-24 10:33:38,"America is exceptional in many ways. Rampant gun violence should not be one of them. BALTIMORESUN.COM The term ‘American exceptionalism’ used to mean something good, now it means something deadly | GUEST COMMENTARY",130,1
67,67,664327859064854,2023-06-23 09:00:01,Everytown for Gun Safety’s director of Trauma-Informed Programs Abigail Hurst joined a panel at National Parent Teacher Association's #PTAConLive23 to discuss personal and societal trauma experienced by children and why it’s important for schools to provide trauma-responsive care. Watch YOUTUBE.COM 2023 Youth Risk Prevention Symposium | #PTAConLive23,22,1
68,68,663925895771717,2023-06-22 13:54:28,"WE DID IT! After vehement opposition by our volunteers and others, the gun lobby's allies in Congress FAILED to repeal the ATF's life-saving arm brace rule, which would have made it easier for dangerous people to get their hands on these deadly assault weapons. “The expectation of the public is clear: Lawmakers should be working to pass gun safety laws, not advancing the gun lobby’s ‘guns everywhere’ agenda that puts profits before public safety,"" said Moms Demand Action Executive Director Angela Ferrell-Zabala. THEHILL.COM Senate rejects House-passed measure overturning Biden rule on pistol braces",449,1
69,69,663875339110106,2023-06-22 11:52:43,"Veronica Melton experienced the unthinkable when her abusive ex-husband shot and killed their 14-year-old son, Giovanni, after he came out to him as gay. In Giovanni’s honor, Veronica founded the Giovanni Melton Foundation, which works to stop bullying, violence, and racism. This Pride month, read and share Veronica’s Moments That Survive story: momentsthatsurvive.org/tribute/giovanni-melton",1000,1
70,70,663369992493974,2023-06-21 19:00:02,MUST WATCH: Take a moment today to learn more about how women are taking on the issue of gun violence in America. MSNBC.COM Women over 50 battling for gun safety in the U.S.,279,1
71,71,663263915837915,2023-06-21 11:27:04,"Secure gun storage is important year-round but, as children and teens spend more time at home during the summer months, it is critical to secure guns where children are present. With heartbreaking regularity, leaving guns accessible ends in tragedy. Last week, a 3-year-old child gained access to a loaded gun in a Trenton, NJ home and discharged it. A bullet struck and killed the child. No word on who the gun belonged to or how the child accessed it. On Friday, a 2-year-old child in Ohio gained access to a loaded gun and shot his 31-year-old mom, who was pregnant. Both the woman and her unborn child died from their injuries. On Monday, a 5-year-old child died after a 7-year-old child accessed a loaded gun and discharged it inside a Jackson County, KY home. Some Kentucky lawmakers are calling for a secure storage law in the wake of the shooting. CBSNEWS.COM Accidental shootings by children keep happening. How toddlers are able to fire guns.",118,1
72,72,662831229214517,2023-06-20 17:12:33,The US House voted to make it easier for dangerous people to access the weapon used in the shooting at Covenant School in Nashville. We must stop the Senate from doing the same. Send your senators a message telling them to vote NO: ACT.EVERYTOWN.ORG Tell Your U.S. Senators: Don't Repeal The Arm Brace Rule,44,1
73,73,662688775895429,2023-06-20 11:14:38,"It was yet another violent and deadly holiday weekend in America as gun violence ripped through communities across the country. In Chicago, at least 75 people were shot, 13 fatally. Makao Moore, 17, was killed and nine other teens were wounded in a shooting inside a building in downtown St. Louis. Police say the teens were having a party at the time of the shooting. At least 23 people were shot, one fatally, during a large gathering in the parking lot of a strip mall in Willowbrook, Illinois. Two people were killed and two others were wounded at Gorge Amphitheatre campground in Washington State. The suspect was also wounded and taken into custody by police. The venue was scheduled to host… ABC7CHICAGO.COM Chicago shootings:75 shot, 13 fatally, in weekend gun violence across city, police say",140,1
74,74,661968672634106,2023-06-19 08:16:00,"Today, we join all those celebrating Juneteenth and continue to advocate for a future free from gun violence for Black communities. Join us and Everytown for Gun Safety this Thursday (6/22) at 2pm ET for a virtual celebration of Black joy in our movement. Register here: etwn.us/43KhkOi",1000,1
75,75,661479649349675,2023-06-18 11:33:27,"This Father’s Day, we honor the amazing dads—including those who play the role of a dad—who work tirelessly to ensure a safer future for our children, families, and communities. Our hearts are with all those who are missing children today due to senseless gun violence.",232,1
76,76,660812479416392,2023-06-17 12:00:02,"Three boys ages 3, 4 and 7 were shot and killed by their father on Thursday in Ohio. The boys’ mother was wounded in the shooting. This is the kind of unspeakable horror that can unfold when abusers are armed. NBCNEWS.COM Ohio man charged with murder after 3 young sons found shot, surviving daughter screaming her father was 'killing everyone'",264,1
77,77,660784686085838,2023-06-17 09:50:56,"Eight years ago today, a white supremacist opened fire at Mother Emanuel AME Church in Charleston, South Carolina, killing nine Black worshippers and wounding one person. We remember and honor the victims, survivors, and the entire Charleston community as we reaffirm our commitment to disarm hate in all its forms.",286,1
